ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Xmin,Xmax,Ymin,Ymax,Addr_type,ARC_SingleLine,datum_čas_odtahu,místo_nařízeného_odtahu,důvod_nařízeného_odtahu,ulice,X,Y
1,ul_co_zn,M,100,A,Drobného 5,0,0,0,0,Address,Drobného 5,2013-06-01 02:55:00.000,"Drobného 5, Brno-Černá Pole","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Drobného 5,16.6131806964991,49.2045484355862
2,ul_co_zn,M,100,A,Čápkova 1,0,0,0,0,Address,Čápkova 1,2013-06-01 03:40:00.000,"Čápkova 1, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Čápkova 1,16.5947353582688,49.1994818012547
3,ul_co_zn,M,100,A,Lidická 75,0,0,0,0,Address,Lidická 75,2013-06-01 09:30:00.000,"Lidická 75, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Lidická 75,16.6045821769024,49.2064566721457
4,ul_cp_co_zn,M,92.5,A,Anenská 3/2,0,0,0,0,Address,Anenská 32,2013-06-01 14:25:00.000,"Anenská 32, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Anenská 32,16.6036552829762,49.1910634560539
5,ul_co_zn,M,100,A,Lužánecká 12,0,0,0,0,Address,Lužánecká 12,2013-06-01 15:20:00.000,"Lužánecká 12, Brno-Černá Pole","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Lužánecká 12,16.6094562065437,49.2044532879443
6,ul_co_zn,M,100,A,Vídeňská 7,0,0,0,0,Address,Vídeňská 7,2013-06-01 20:25:00.000,"Vídeňská 7-z boku, Brno-Štýřice","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Vídeňská 7,16.595473876832,49.1851674431352
7,ul_co_zn,M,100,A,Stojanova 14,0,0,0,0,Address,Stojanova 14,2013-06-02 00:10:00.000,"Stojanova 14, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Stojanova 14,16.5919519131844,49.2000066749999
8,ul_co_zn,M,100,A,Mendlovo náměstí 4,0,0,0,0,Address,Mendlovo náměstí 4,2013-06-02 07:40:00.000,"Mendlovo náměstí 4, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Mendlovo náměstí 4,16.5958719663467,49.1911210827262
9,ul_co_zn,M,100,A,Jana Uhra 10,0,0,0,0,Address,Jana Uhra 10,2013-06-02 07:57:00.000,"Jana Uhra 10, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Jana Uhra 10,16.5961771278312,49.2025214216601
10,ul_co_zn,M,100,A,Jiráskova 34,0,0,0,0,Address,Jiráskova 34,2013-06-02 09:00:00.000,"Jiráskova 34, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Jiráskova 34,16.5961053819948,49.2022656012759
